Measure Mode: allocations
Thread ID: 70132114317320
Fiber ID: 70132118710860
Total: 17084.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
 65.90  11258.000 11258.000     0.000     0.000     1646   String#split
 20.80  17050.000  3553.000     0.000 13497.000        1   <Class::IO>#foreach
  4.65    795.000   795.000     0.000     0.000      795   Integer#to_s
  2.70    462.000   462.000     0.000     0.000      528   Array#sort!
  2.03    347.000   347.000     0.000     0.000      347   FalseClass#to_s
  1.55    265.000   265.000     0.000     0.000      265   Array#join
  1.18    201.000   201.000     0.000     0.000     1382   Set#add
  1.06    181.000   181.000     0.000     0.000      181   TrueClass#to_s
  0.04  17077.000     7.000     0.000 17070.000        1   <Class::IO>#open
  0.02  17083.000     4.000     0.000 17079.000        1   Object#work
  0.02      5.000     3.000     0.000     2.000        1   Enumerable#sort
  0.01      2.000     2.000     0.000     0.000     1648   IO#write
  0.01      2.000     2.000     0.000     0.000        1   Set#each
  0.01      4.000     1.000     0.000     3.000        1   String#%
  0.01      2.000     1.000     0.000     1.000        2  *Class#new
  0.01  17084.000     1.000     0.000 17083.000        1   [global]#[no method]
  0.00      0.000     0.000     0.000     0.000      265   String#upcase!
  0.00      0.000     0.000     0.000     0.000      264   Array#reverse!
  0.00      0.000     0.000     0.000     0.000     1646   Array#shift
  0.00      0.000     0.000     0.000     0.000     1381   String#tr!
  0.00      0.000     0.000     0.000     0.000     3320   String#to_i
  0.00      0.000     0.000     0.000     0.000     1646   String#start_with?
  0.00      0.000     0.000     0.000     0.000      526   Array#clear
  0.00      0.000     0.000     0.000     0.000        1   Hash#each_key
  0.00      0.000     0.000     0.000     0.000        1   Set#size
  0.00      0.000     0.000     0.000     0.000        1   File#initialize
  0.00      0.000     0.000     0.000     0.000        1   IO#closed?
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?
  0.00      0.000     0.000     0.000     0.000        1   Hash#initialize
  0.00      1.000     0.000     0.000     1.000        1   Set#initialize
  0.00      0.000     0.000     0.000     0.000        1   IO#close
  0.00      0.000     0.000     0.000     0.000      264   String#end_with?
  0.00      0.000     0.000     0.000     0.000      264   String#include?

* indicates recursively called methods
