Measure Mode: allocations
Thread ID: 70236183396360
Fiber ID: 70236185621160
Total: 64222.000000
Sort by: self_time

 %self      total      self      wait     child     calls  name
 37.62  24163.000 24163.000     0.000     0.000     3293   String#split
 30.82  55013.000 19793.000     0.000 35220.000        9   Array#each
  7.10   4557.000  4557.000     0.000     0.000     4292   String#encode
  5.98   3841.000  3841.000     0.000     0.000     3841   String#upcase
  4.30  12438.000  2764.000     0.000  9674.000     1382   Object#parse_session
  3.70   5142.000  2378.000     0.000  2764.000     2378   Array#map
  2.88   1848.000  1848.000     0.000     0.000     1848   Hash#merge
  1.54    992.000   992.000     0.000     0.000      529   Array#sort
  1.23   1320.000   792.000     0.000   528.000        1   Array#each_index
  0.82    530.000   529.000     0.000     1.000      266  *Class#new
  0.82   2112.000   528.000     0.000  1584.000      264   Object#parse_user
  0.82    528.000   528.000     0.000     0.000      528   Integer#to_s
  0.49   1045.000   317.000     0.000   728.000      264   Array#any?
  0.41    266.000   266.000     0.000     0.000      266   Hash#keys
  0.41    265.000   265.000     0.000     0.000      265   Array#join
  0.41    264.000   264.000     0.000     0.000      264   Array#reverse
  0.31    201.000   201.000     0.000     0.000     1382   Set#add
  0.26    514.000   165.000     0.000   349.000      264   Array#all?
  0.02  64221.000    10.000     0.000 64211.000        1   Object#work
  0.01      5.000     5.000     0.000     0.000        1   <Class::IO>#write
  0.00      3.000     3.000     0.000     0.000        1   <Class::IO>#read
  0.00      2.000     2.000     0.000     0.000        1   Array#uniq
  0.00      2.000     2.000     0.000     0.000        1   Set#each
  0.00      4.000     2.000     0.000     2.000        1   Enumerable#count
  0.00      2.000     2.000     0.000     0.000        1   Array#flatten
  0.00      1.000     1.000     0.000     0.000        1   Symbol#to_s
  0.00      1.000     1.000     0.000     0.000        1   Kernel#dup
  0.00   4826.000     1.000     0.000  4825.000        1   JSON::Ext::Generator::GeneratorMethods::Hash#to_json
  0.00  64222.000     1.000     0.000 64221.000        1   [global]#[no method]
  0.00      0.000     0.000     0.000     0.000        1   Hash#each_key
  0.00      0.000     0.000     0.000     0.000        1   Hash#initialize
  0.00      1.000     0.000     0.000     1.000        1   Set#initialize
  0.00      0.000     0.000     0.000     0.000      264   User#initialize
  0.00      0.000     0.000     0.000     0.000      266   Array#count
  0.00  22156.000     0.000     0.000 22156.000        7   Object#collect_stats_from_users
  0.00      0.000     0.000     0.000     0.000     2764   String#to_i
  0.00      0.000     0.000     0.000     0.000      264   Array#sum
  0.00      0.000     0.000     0.000     0.000      264   Array#max
  0.00      0.000     0.000     0.000     0.000        1   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy
  0.00      0.000     0.000     0.000     0.000     2116   String#to_s
  0.00      0.000     0.000     0.000     0.000        1   NilClass#nil?

* indicates recursively called methods
