Measure Mode: wall_time
Thread ID: 70098564087760
Fiber ID: 70098577035560
Total: 0.119539
Sort by: self_time

 %self      total      self      wait     child     calls  name
 56.16      0.067     0.067     0.000     0.000      264   Array#select
 14.74      0.018     0.018     0.000     0.000     1646   Array#all?
  8.94      0.115     0.011     0.000     0.105       10   Array#each
  3.63      0.013     0.004     0.000     0.009     2906   Array#map
  2.85      0.007     0.003     0.000     0.004     1382   <Class::Date>#parse
  2.60      0.003     0.003     0.000     0.000     3293   String#split
  1.51      0.002     0.002     0.000     0.000     2764   Regexp#match
  0.98      0.002     0.001     0.000     0.001     1382   Object#parse_session
  0.96      0.002     0.001     0.000     0.001        1   JSON::Ext::Generator::GeneratorMethods::Hash#to_json
  0.82      0.001     0.001     0.000     0.000     4292   String#encode
  0.71      0.001     0.001     0.000     0.000      529   Array#sort
  0.70      0.001     0.001     0.000     0.000     1382   String#gsub!
  0.67      0.001     0.001     0.000     0.000     1848   Hash#merge
  0.59      0.001     0.001     0.000     0.000     3841   String#upcase
  0.49      0.001     0.001     0.000     0.000     1382   Date#iso8601
  0.41      0.000     0.000     0.000     0.000     2764   String#to_i
  0.34      0.001     0.000     0.000     0.000      264   Array#any?
  0.33      0.000     0.000     0.000     0.000     2744   Date#<=>
  0.29      0.000     0.000     0.000     0.000     1382   String#[]=
  0.29      0.000     0.000     0.000     0.000     1382   MatchData#begin
  0.24      0.000     0.000     0.000     0.000     2116   String#to_s
  0.22      0.000     0.000     0.000     0.000        1   <Class::IO>#write
  0.22      0.000     0.000     0.000     0.000      264   Class#new
  0.19      0.000     0.000     0.000     0.000      264   Object#parse_user
  0.18      0.000     0.000     0.000     0.000     1382   MatchData#end
  0.18      0.000     0.000     0.000     0.000     1382   Integer#div
  0.18      0.000     0.000     0.000     0.000      265   Array#join
  0.10      0.000     0.000     0.000     0.000      264   User#initialize
  0.08      0.000     0.000     0.000     0.000      528   Integer#to_s
  0.06      0.000     0.000     0.000     0.000        1   Array#uniq
  0.05      0.000     0.000     0.000     0.000      266   Hash#keys
  0.05      0.000     0.000     0.000     0.000      264   Array#max
  0.05      0.000     0.000     0.000     0.000      264   Array#reverse
  0.04      0.000     0.000     0.000     0.000        1   <Class::IO>#read
  0.04      0.000     0.000     0.000     0.000      264   Array#sum
  0.04      0.000     0.000     0.000     0.000      267   Array#count
  0.03      0.120     0.000     0.000     0.119        1   Object#work
  0.02      0.120     0.000     0.000     0.120        1   [global]#[no method]
  0.01      0.019     0.000     0.000     0.019        7   Object#collect_stats_from_users
  0.00      0.000     0.000     0.000     0.000        1   Kernel#dup
  0.00      0.000     0.000     0.000     0.000        1   JSON::Ext::Generator::State#initialize_copy
  0.00      0.000     0.000     0.000     0.000        1   Kernel#initialize_dup
  0.00      0.000     0.000     0.000     0.000        1   Symbol#to_s

* indicates recursively called methods
